,,,,,,,,,,
1,쌍둥이돼지국밥,부산 남구 유엔평화로 19,051-628-7020,09:00 - 23:00,4.3,,35.136214,129.098488,1,1
2,웨이브온 커피,부산 기장군 장안읍 해맞이로 286,051-727-1660,10:00 - 23:00,4.4,,35.291777,129.288515,2,8
3,옵스 해운대점,부산 해운대구 중동1로 31,051-747-6886,08:00 - 22:00,4.5,,35.162985,129.160161,3,8
4,스시 미르네,부산 해운대구 해운대해변로 271,051-746-5744,11:30 - 21:00,4.4,,35.161093,129.163352,1,2
5,신기산업,부산 영도구 와치로51번길 2,070-8230-1116,11:00 - 22:00,4.2,,35.086432,129.05582,2,8
6,이재모피자,부산 중구 광복중앙로 31,051-245-1478,11:00 - 21:30,4.6,,35.099167,129.031318,1,4
7,금수복국,부산 해운대구 중동1로43번길 23,051-742-3600,24시간 영업,4.3,Bib Gourmand,35.161049,129.158558,1,1
8,B&C제과점,부산 중구 중구로47번길 15,051-245-2361,09:00 - 22:00,4.3,,35.100913,129.030501,3,8
9,브라운핸즈 백제,부산 동구 중앙대로209번길 16,051-464-0332,10:00 - 22:00,4.4,,35.115049,129.039236,2,8
10,칠성식당,부산 동구 자성로133번길 32,051-643-0140,11:30 - 21:00,4.6,,35.132899,129.059439,1,1
11,해운대기와집대구탕,부산 해운대구 달맞이길104번길 46,051-731-5020,08:00 - 21:00,4.4,,35.15855,129.176435,1,1
12,초량밀면,부산 동구 중앙대로 225,051-462-1575,10:00 - 22:00,4.1,,35.11667,129.040135,1,1
13,할매가야밀면,부산 중구 중구로 5-1,051-246-3314,10:30 - 20:00,4.1,,35.09958,129.03265,1,1
14,합천일류돼지국밥,부산 사하구 낙동대로 430,051-291-2970,09:00 - 21:30,4.4,,35.10986,128.98569,1,1
15,18번완당집,부산 중구 비프광장로 31-1,051-245-0018,11:00 - 20:00,4,,35.09865,129.02872,1,1
16,속시원한대구탕,부산 해운대구 달맞이길 229,051-747-1666,08:00 - 21:00,4.2,,35.1611,129.1852,1,1
17,소문난동래파전,부산 동래구 명륜로94번길 43-6,051-553-5464,12:00 - 24:00,4.2,,35.2023,129.08378,1,1
18,버거인뉴욕,부산 해운대구 해운대해변로298번길 25,051-743-0144,11:00 - 21:00,4.5,,35.16301,129.16439,1,4
19,톤쇼우,부산 수영구 광안로9-13,,11:30 - 21:00,4.6,,35.1537,129.11659,1,2
20,나가하마만게츠,부산 부산진구 중앙대로691번길 45-5,051-808-8349,11:30 - 22:00,4.4,,35.1573,129.05928,1,2
21,코카모메,부산 부산진구 전포대로209번길 11-8,051-808-2019,11:30 - 21:00,4.5,,35.15609,129.06405,1,2
22,샤오시,부산 수영구 광안해변로 125,051-755-1250,12:00 - 21:00,4.3,,35.15243,129.11225,1,3
23,신발원,부산 동구 대영로243번길 62,051-467-0177,11:00 - 20:00,4.2,,35.11545,129.04098,1,3
24,옥생관,부산 중구 대청로 65-1,051-245-0298,11:30 - 21:00,4.1,,35.103,129.0308,1,3
25,류가향,부산 부산진구 가야대로784번길 46-1,051-807-6888,11:30 - 21:00,4.4,,35.15689,129.0601,1,3
26,남천할매떡볶이,부산 수영구 남천동로 10,051-625-4163,09:00 - 21:00,4.2,,35.14378,129.112,1,6
27,다리집,부산 수영구 남천바다로10번길 70,051-625-0130,11:30 - 21:00,4.1,,35.14555,129.1147,1,6
28,이가네떡볶이,부산 중구 부평1길 48,051-245-0413,10:00 - 17:00,4.3,,35.1005,129.0255,1,6
29,빨간떡볶이,부산 해운대구 좌동로91번길 20,051-703-9529,11:00 - 23:00,4.4,,35.1718,129.1712,1,6
30,앳홈,부산 부산진구 전포대로199번길 29,051-806-4475,11:30 - 21:30,4.5,,35.155,129.0634,1,5
31,라자,부산 금정구 금강로 279-1,051-518-8859,11:30 - 22:00,4.4,,35.2345,129.0881,1,5
32,안남,부산 수영구 광안해변로 255-1,051-759-5551,12:00 - 22:00,4.3,,35.1541,129.1187,1,5
33,디에이블,부산 부산진구 중앙대로680번길 38,051-807-5799,11:30 - 22:00,4.3,,35.1572,129.061,1,7
34,비토,부산 동래구 온천천로431번길 6-1,051-523-3569,12:00 - 22:00,4.5,,35.195,129.08,1,7
35,어반자카파,부산 수영구 광안해변로 177,051-755-2582,11:30 - 23:00,4.2,,35.1531,129.1145,1,7
36,듀플릿,부산 부산진구 전포대로209번길 29,,12:00 - 22:00,4.5,,35.1561,129.0638,2,8
37,모모스커피,부산 금정구 오시게로 20,051-512-7034,10:00 - 22:00,4.5,,35.2198,129.0854,2,8
38,헤이든,부산 기장군 일광읍 문오성길 2,051-727-4717,10:30 - 22:00,4.3,,35.2471,129.2312,2,8
39,카페 드 220볼트,부산 부산진구 황령대로24번길 27,051-807-2201,11:00 - 23:00,4.4,,35.1504,129.0513,2,8
40,포트1902,부산 해운대구 송정구덕포길 170-5,051-704-1902,11:00 - 24:00,4.1,,35.1834,129.2045,2,8
41,로우앤스윗,부산 수영구 광안해변로 145,051-755-5788,11:00 - 22:00,4.3,,35.1527,129.1128,2,8
42,루프앤드,부산 해운대구 달맞이길117번가길 17-11,,11:00 - 22:00,4.2,,35.158,129.1798,2,8
43,커피 어웨이크,부산 부산진구 서전로37번길 20,,12:00 - 21:00,4.4,,35.1557,129.0617,2,8
44,스트럿 커피,부산 수영구 광남로 90,,10:00 - 22:00,4.5,,35.152,129.11,2,8
45,오디너리플라워,부산 부산진구 서전로46번길 86,,12:00 - 21:00,4.3,,35.1565,129.0625,2,8
46,베르크 로스터스,부산 부산진구 전포대로175번길 8,,12:00 - 21:00,4.5,,35.1534,129.0622,2,8
47,아뜰리에,부산 해운대구 달맞이길65번길 148,,11:00 - 22:00,4.2,,35.1595,129.1825,2,8
48,비상,부산 기장군 기장해안로 895,051-722-1212,11:00 - 22:00,4.3,,35.201,129.213,2,8
49,랜드마크9,부산 영도구 봉래나루로 178,051-418-0955,10:00 - 22:00,4.4,,35.092,129.0435,2,8
50,스페이스단단,부산 금정구 중앙대로1919번길 11,,11:00 - 21:00,4.5,,35.2285,129.091,2,8
51,에프엠커피하우스,부산 부산진구 중앙대로692번길 16,051-803-0928,10:00 - 22:00,4.4,,35.1568,129.0598,2,8
52,겟올라잇,부산 수영구 광안해변로 239,,18:00 - 02:00,4.2,,35.1538,129.1178,2,8
53,희와제과,부산 부산진구 전포대로224번길 17,,11:00 - 19:00,4.6,,35.1578,129.0645,3,8
54,겐츠베이커리,부산 부산진구 중앙대로 749,051-810-3488,10:30 - 22:00,4.3,,35.1585,129.0595,3,8
55,빵드뱅,부산 남구 용소로13번길 34,051-628-8290,09:00 - 22:00,4.4,,35.136,129.1008,3,8
56,빵다무르,부산 수영구 광안로49번길 14,,10:00 - 21:00,4.5,,35.1545,129.1155,3,8
57,시엘로,부산 해운대구 달맞이길117번가길 121,,10:00 - 22:00,4.2,,35.1582,129.1805,3,8
58,류 제과점,부산 금정구 금강로 431,,09:00 - 21:00,4.4,,35.239,129.086,3,8
59,베이크샵,부산 부산진구 서전로10번길 31,,12:00 - 21:00,4.3,,35.154,129.059,3,8
60,파티세리 드 레브,부산 해운대구 마린시티2로 33,051-747-8855,10:00 - 22:00,4.5,,35.153,129.145,3,8
61,이흥용과자점,부산 부산진구 중앙대로 777,051-804-0011,08:00 - 22:00,4.4,,35.1595,129.0598,3,8
62,마가만두,부산 동구 중앙대로231번길 5,051-468-4059,11:30 - 21:00,4.3,,35.1162,129.0415,1,3
63,원향재,부산 동래구 온천장로119번길 14,051-552-3331,11:30 - 21:30,4.2,,35.2158,129.0835,1,3
64,거인통닭,부산 중구 중구로47번길 30,051-246-6079,12:00 - 22:00,4.2,,35.1012,129.03,1,1
65,이화장,부산 동구 중앙대로533번길 10,051-441-2427,11:30 - 21:00,4,,35.1275,129.043,1,3
66,동경밥상,부산 부산진구 동천로 95-5,051-806-0924,11:30 - 21:00,4.4,,35.158,129.0615,1,2
67,그릴106,부산 부산진구 서전로10번길 49,051-809-1060,17:00 - 24:00,4.3,,35.1545,129.06,1,4
68,수변최고돼지국밥,부산 수영구 광안해변로 370,051-754-9222,24시간 영업,4.4,,35.1548,129.1245,1,1
69,오륙도수제순대,부산 남구 용소로 30,051-628-0525,11:00 - 22:00,4.3,,35.1375,129.102,1,1
70,양산국밥,부산 해운대구 구남로 28,051-742-3920,24시간 영업,4.1,,35.1625,129.161,1,1
71,고옥,부산 수영구 광남로 61,051-752-3450,11:30 - 21:30,4.5,,35.1518,129.1105,1,1
72,딤타오,부산 해운대구 우동1로20번길 19,051-746-8889,11:30 - 21:30,4.4,,35.1635,129.162,1,3
73,라꽁띠,부산 해운대구 달맞이길117번길 120,051-746-1335,12:00 - 22:00,4.5,,35.1585,129.181,1,4
74,델리,부산 남구 유엔평화로4번길 53,051-621-3669,11:30 - 21:00,4.3,,35.1345,129.0965,1,5
75,뉴러우멘관즈,부산 부산진구 서면로 28,051-808-1112,11:30 - 21:00,4.4,,35.155,129.058,1,5
76,사북칼국수,부산 중구 중구로47번길 43,051-246-1909,11:00 - 20:00,4.2,,35.1015,129.0302,1,1
77,동백극장,부산 수영구 광안로61번길 34,,12:00 - 22:00,4.4,,35.1555,129.116,2,8
78,카페이정원,부산 금정구 식물원로 26,051-517-3100,11:00 - 22:00,4.3,,35.219,129.078,2,8
79,카페미루,부산 기장군 철마면 곰내길 588,051-723-5588,10:30 - 21:30,4.5,,35.275,129.123,2,8
80,오소메,부산 부산진구 중앙대로680번길 45-12,051-802-5558,11:30 - 21:30,4.3,,35.1575,129.062,1,2
81,개미집,부산 해운대구 구남로 34,051-747-8588,24시간 영업,4,,35.163,129.1615,1,1
82,호랑이젤라떡,부산 해운대구 달맞이길62번길 28,,12:00 - 22:00,4.5,,35.159,129.1775,1,8
83,부다면옥,부산 남구 진남로 6,051-624-2277,11:00 - 21:00,4.3,,35.131,129.09,1,1
84,명성횟집,부산 수영구 민락수변로 1,051-753-6363,11:00 - 22:00,4.2,,35.1542,129.1265,1,1
85,마마돈,부산 부산진구 중앙대로692번길 37,051-819-0021,11:30 - 21:30,4.3,,35.157,129.0605,1,2
86,해성막창집,부산 해운대구 중동1로19번길 29,051-731-9495,16:30 - 02:00,4.4,,35.1615,129.16,1,1
87,솔탭하우스,부산 부산진구 동천로 85,051-807-2853,17:00 - 01:00,4.5,,35.1582,129.0608,1,4
88,빕스,부산 연제구 거제천로 89,051-850-8997,10:30 - 22:00,4.2,,35.1795,129.0735,1,4
89,티볼리,부산 수영구 남천동로 108,051-628-8778,11:30 - 22:00,4.3,,35.1445,129.113,1,4
